DateTime,AddedIPs,RemovedIPs
1556895724,36,0
1556896922,33,37
1556898123,37,91
1556898723,76,0
1556899323,51,0
1556899922,61,53
1556900523,56,0
1556901122,47,42
1556901723,36,0
1556902322,56,46
1556902923,30,87
1556903523,37,0
1556904123,29,107
1556905322,42,0
1556906522,33,86
1556907723,41,0
1556908923,41,80
1556910124,44,39
1556910724,34,0
1556911323,58,44
1556911923,37,0
1556912522,34,0
1556913722,29,118
1556914923,46,0
1556916123,40,82
1556917323,47,70
1556918522,36,141
1556919722,54,38
1556920923,40,93
1556923323,41,89
1556924522,43,37
1556925122,49,44
1556925722,55,83
1556926322,68,0
1556926923,46,0
1556928123,49,89
1556929323,53,70
1556930522,41,38
1556931723,52,45
1556932923,54,134
1556934122,48,48
1556935323,55,92
1556936522,50,46
1556937123,49,44
1556937722,44,38
1556938323,55,0
1556938922,50,100
1556939522,45,43
1556940122,50,45
1556940723,45,46
1556941322,74,0
1556942523,48,88
1556943723,43,44
1556944325,49,39
1556944923,39,45
1556945523,44,0
1556946123,46,47
1556946723,38,87
1556947322,51,43
1556947923,39,52
1556948523,35,0
1556949722,45,53
1556950923,40,36
1556952122,65,43
1556953322,41,47
1556954522,44,165
1556955723,43,0
1556956322,41,46
1556956922,68,0
1556958123,52,39
1556959323,40,95
1556959924,42,0
1556960524,45,0
1556961723,43,110
1556962923,43,52
1556964123,41,54
1556965322,45,96
1556965922,47,50
1556966523,37,0
1556967722,42,38
1556968923,47,49
1556970122,43,88
1556971323,54,86
1556972523,42,39
1556973722,43,141
1556974322,52,0
1556974923,40,0
1556975523,43,43
1556976122,36,55
1556976722,56,0
1556977323,48,0
1556978523,40,37
1556979123,43,47
1556979723,54,43
1556980323,51,41
1556980923,42,0
1556981523,45,50
1556982124,44,43
1556983323,51,0
1556984523,48,45
1556985723,39,110
1556986923,65,156
1556987523,67,0
1556988123,57,48
1556989322,41,131
1556989923,40,41
1556990523,36,0
1556991123,49,45
1556991723,51,0
1556992922,58,94
1556994122,39,45
1556994723,46,0
1556995323,44,0
1556996522,48,39
1556997723,41,91
1556998923,35,151
1557000123,49,0
1557001323,50,95
1557002523,46,0
1557003722,45,45
1557004323,42,43
1557004924,52,0
1557005523,45,39
1557006122,40,0
1557007323,50,90
1557008522,35,0
1557009123,53,0
1557009723,46,0
1557010323,46,40
1557010923,47,42
1557011523,75,0
1557012123,43,94
1557013323,43,56
1557014525,44,40
1557015123,45,40
1557015723,44,0
1557016923,46,52
1557018122,38,79
1557018723,40,0
1557019322,48,0
1557019923,39,50
1557020522,46,39
1557021723,36,41
1557022323,44,0
1557022923,43,0
1557024123,53,90
1557025322,51,88
1557026523,74,92
1557027723,32,160
1557028322,50,0
1557028922,38,0
1557030123,36,94
1557031323,44,41
1557031923,48,50
1557032523,46,92
1557033723,43,46
1557034923,46,136
1557035523,50,0
1557036122,39,0
1557036723,42,42
1557037322,43,43
1557037924,37,0
1557038522,33,0
1557039723,41,78
1557040922,49,0
1557041522,44,48
1557042123,52,45
1557043323,41,115
1557044522,49,0
1557045123,43,42
1557045722,48,0
1557046922,40,77
1557048123,38,47
1557049322,37,91
1557050523,42,53
1557051124,40,0
1557051722,39,42
1557052923,47,46
1557054123,38,35
1557055323,37,33
1557056523,51,35
1557057722,48,92
1557058323,50,0
1557058922,45,42
1557060122,40,0
1557061322,40,80
1557062522,44,91
1557063123,43,95
1557063723,55,0
1557064923,43,98
1557066122,45,49
1557067323,46,97
1557067923,41,54
1557068523,47,50
1557069722,46,101
1557070322,43,0
1557070922,46,0
1557071522,50,40
1557072122,38,39
1557073323,66,70
1557073922,50,0
1557074523,47,56
1557075722,35,47
1557076924,39,81
1557078123,50,143
1557078723,43,0
1557079322,47,0
1557080522,53,84
1557081123,47,38
1557081722,63,39
1557082922,42,0
1557084122,50,91
1557084724,41,0
1557085322,45,0
1557085922,49,44
1557086524,35,40
1557087124,41,0
1557087723,44,52
1557088922,31,53
1557090122,40,44
1557090723,40,0
1557091323,45,46
1557092523,44,152
1557093723,49,0
1557094923,43,88
1557096123,42,32
1557096722,47,92
1557097323,34,39
1557097923,44,76
1557098522,40,0
1557099722,48,83
1557100323,51,0
1557100924,40,43
1557102123,38,75
1557103322,44,0
1557103923,44,40
1557104522,44,56
1557105124,38,34
1557105722,51,0
1557106323,40,47
1557106922,41,86
1557108123,39,0
1557108722,49,85
1557109324,36,47
1557109923,31,0
1557110523,40,0
1557111123,74,55
1557111725,39,0
1557112323,46,40
1557112923,35,0
1557113523,42,73
1557114122,36,0
1557114722,45,45
1557115323,41,92
1557116522,40,0
1557117122,40,35
1557117723,49,54
1557118323,40,0
1557118923,39,46
1557119523,51,35
1557120123,41,43
1557120723,46,0
1557121323,43,0
1557122522,39,112
1557123724,37,50
1557124322,45,78
1557124922,47,0
1557126123,53,48
1557127323,33,52
1557127922,49,44
1557128523,45,86
1557129123,75,0
1557129723,57,0
1557130922,43,89
1557131523,45,0
1557132122,52,52
1557133322,49,91
1557133923,39,0
1557134522,28,0
1557135722,34,45
1557136923,37,47
1557138122,38,114
1557138722,50,0
1557139322,40,42
1557140523,45,0
1557141723,45,89
1557142923,45,47
1557143522,45,0
1557144123,40,0
1557144723,28,38
1557145323,40,45
1557146523,32,32
1557147723,47,83
1557148322,47,0
1557148922,36,0
1557150123,40,121
1557151322,61,35
1557151923,39,0
1557152523,45,44
1557153722,35,42
1557154323,73,39
1557154923,37,0
1557156123,74,39
1557156723,74,40
1557157322,50,89
1557158522,48,33
1557159722,71,31
1557160322,75,82
1557160922,50,0
1557162124,35,81
1557162722,41,0
1557163322,43,44
1557164522,53,43
1557165124,49,41
1557165722,56,0
1557166322,47,34
1557166922,48,0
1557167523,64,50
1557168123,32,47
1557168722,35,56
1557169323,42,38
1557170523,39,0
1557171722,46,75
1557172922,51,74
1557173522,44,45
1557174122,50,39
1557175322,44,75
1557175922,32,0
1557176523,41,0
1557177122,47,49
1557177722,47,83
1557178323,51,0
1557178924,33,0
1557179523,50,38
1557180123,37,43
1557181323,38,0
1557181923,33,33
1557182522,33,41
1557183123,42,0
1557183723,36,39
1557184923,42,116
1557185522,43,0
1557186123,48,54
1557186722,32,34
1557187323,33,37
1557187922,49,0
1557188523,29,43
1557189723,44,54
1557190322,50,48
1557190923,36,0
1557192122,47,132
1557192723,50,41
1557193923,52,43
1557194523,36,0
1557195123,33,35
1557195723,48,90
1557196322,46,44
1557196923,45,51
1557198123,43,73
1557198724,45,43
1557199323,48,93
1557199922,35,0
1557200524,39,80
1557201123,36,37
1557201722,39,0
1557202323,53,47
1557202922,41,40
1557204123,51,38
1557204723,38,94
1557205323,45,42
1557205922,40,40
1557206524,53,0
1557207723,38,125
1557208322,45,0
1557208923,47,38
1557209523,44,0
1557210122,40,42
1557211322,53,44
1557212523,45,52
1557213123,44,42
1557213723,46,0
1557214322,35,43
1557214922,39,43
1557215522,39,105
1557216123,40,0
1557216723,45,74
1557217322,43,31
1557217923,40,47
1557218522,36,0
1557219723,33,82
1557220324,40,0
1557220922,49,73
1557222123,48,33
1557223322,46,0
1557224522,30,39
1557225722,42,111
1557226323,40,0
1557226923,45,53
1557228123,44,0
1557228723,44,37
1557229323,34,0
1557229923,34,43
1557230524,39,37
1557231722,37,104
1557232323,50,0
1557232923,44,0
1557233523,49,40
1557234122,49,36
1557234723,51,40
1557235323,30,42
1557235923,36,0
1557236523,37,0
1557237122,34,43
1557237723,41,0
1557238922,41,84
1557240123,33,33
1557241325,68,101
1557241922,73,40
1557242523,41,64
1557243723,72,69
1557244923,72,87
1557246123,39,0
1557247323,40,185
1557248523,37,49
1557249723,33,91
1557250923,37,0
1557252122,38,131
1557253322,35,47
1557253923,48,37
1557254523,38,103
1557255723,43,82
1557256922,61,47
1557257523,46,0
1557258122,42,0
1557259323,43,77
1557259922,35,36
1557260522,40,0
1557261723,47,87
1557262323,47,42
1557262922,46,43
1557264123,40,89
1557264723,42,46
1557265322,49,0
1557265922,42,90
1557266523,40,51
1557267722,38,0
1557268922,43,85
1557269522,44,87
1557270122,43,47
1557271323,35,0
1557272523,40,88
1557273123,74,46
1557273725,41,47
1557274923,46,97
1557275522,37,35
1557276123,43,0
1557276722,44,50
1557277323,44,95
1557277923,45,0
1557278522,47,0
1557279122,43,37
1557279722,44,36
1557280323,42,0
1557280923,54,41
1557282124,40,81
1557283323,37,122
1557283923,43,0
1557284522,37,40
1557285124,43,0
1557285723,45,37
1557286922,48,91
1557287523,43,50
1557288123,53,100
1557288723,38,0
1557289322,36,87
1557289923,39,0
1557290523,41,0
1557291123,33,49
1557291723,48,47
1557292923,36,135
1557294123,54,41
1557294723,38,0
1557295323,47,34
1557295923,44,44
1557296524,33,41
1557297723,39,96
1557298922,43,53
1557300122,31,78
1557301322,46,50
1557302523,45,124
1557303723,50,44
1557304923,31,139
1557305522,45,0
1557306124,37,51
1557307323,39,90
1557307922,38,0
1557308523,36,0
1557309724,43,85
1557310324,45,0
1557310923,46,38
