DateTime,AddedIPs,RemovedIPs
1556895724,80,80
1556896922,80,80
1556898123,80,80
1556898723,80,80
1556899323,80,80
1556899922,76,76
1556900523,80,80
1556901122,80,80
1556901723,80,80
1556902322,80,80
1556902923,80,80
1556903523,80,80
1556904123,80,80
1556905322,80,80
1556906522,80,80
1556907723,80,80
1556908923,79,79
1556910124,80,80
1556910724,80,80
1556911323,80,80
1556911923,79,79
1556912522,80,80
1556913722,80,80
1556914923,80,80
1556916123,80,80
1556917323,80,80
1556918522,80,80
1556919722,80,80
1556920923,80,80
1556923323,80,80
1556924522,78,78
1556925122,80,80
1556925722,80,80
1556926322,78,78
1556926923,80,80
1556928123,79,79
1556929323,80,80
1556930522,80,80
1556931723,80,80
1556932923,80,80
1556934122,80,80
1556935323,80,80
1556936522,80,80
1556937123,80,80
1556937722,80,80
1556938323,80,80
1556938922,80,80
1556939522,80,80
1556940122,80,80
1556940723,80,80
1556941322,79,79
1556942523,80,80
1556943723,80,80
1556944325,80,80
1556944923,80,80
1556945523,80,80
1556946123,80,80
1556946723,80,80
1556947322,80,80
1556947923,80,80
1556948523,80,80
1556949722,80,80
1556950923,80,80
1556952122,80,80
1556953322,80,80
1556954522,80,80
1556955723,80,80
1556956322,80,80
1556956922,78,78
1556958123,80,80
1556959323,80,80
1556959924,80,80
1556960524,80,80
1556961723,80,80
1556962923,80,80
1556964123,80,80
1556965322,80,80
1556965922,79,79
1556966523,80,80
1556967722,80,80
1556968923,80,80
1556970122,80,80
1556971323,80,80
1556972523,80,80
1556973722,80,80
1556974322,80,80
1556974923,80,80
1556975523,80,80
1556976122,80,80
1556976722,80,80
1556977323,80,80
1556978523,80,80
1556979123,80,80
1556979723,80,80
1556980323,80,80
1556980923,79,79
1556981523,80,80
1556982124,80,80
1556983323,80,80
1556984523,80,80
1556985723,80,80
1556986923,79,79
1556987523,80,80
1556988123,80,80
1556989322,80,80
1556989923,80,80
1556990523,80,80
1556991123,80,80
1556991723,80,80
1556992922,77,77
1556994122,80,80
1556994723,80,80
1556995323,80,80
1556996522,77,77
1556997723,80,80
1556998923,80,80
1557000123,80,80
1557001323,80,80
1557002523,80,80
1557003722,80,80
1557004323,80,80
1557004924,80,80
1557005523,80,80
1557006122,80,80
1557007323,80,80
1557008522,80,80
1557009123,80,80
1557009723,80,80
1557010323,80,80
1557010923,80,80
1557011523,78,78
1557012123,80,80
1557013323,80,80
1557014525,80,80
1557015123,80,80
1557015723,80,80
1557016923,80,80
1557018122,80,80
1557018723,80,80
1557019322,80,80
1557019923,80,80
1557020522,80,80
1557021723,80,80
1557022323,80,80
1557022923,80,80
1557024123,80,80
1557025322,80,80
1557026523,80,80
1557027723,80,80
1557028322,80,80
1557028922,80,80
1557030123,80,80
1557031323,80,80
1557031923,80,80
1557032523,80,80
1557033723,80,80
1557034923,80,80
1557035523,80,80
1557036122,80,80
1557036723,79,79
1557037322,80,80
1557037924,80,80
1557038522,80,80
1557039723,80,80
1557040922,80,80
1557041522,80,80
1557042123,80,80
1557043323,80,80
1557044522,80,80
1557045123,79,79
1557045722,80,80
1557046922,80,80
1557048123,80,80
1557049322,80,80
1557050523,80,80
1557051124,80,80
1557051722,80,80
1557052923,80,80
1557054123,80,80
1557055323,80,80
1557056523,80,80
1557057722,79,79
1557058323,80,80
1557058922,80,80
1557060122,80,80
1557061322,78,78
1557062522,80,80
1557063123,80,80
1557063723,80,80
1557064923,80,80
1557066122,80,80
1557067323,80,80
1557067923,80,80
1557068523,80,80
1557069722,80,80
1557070322,80,80
1557070922,80,80
1557071522,80,80
1557072122,80,80
1557073323,77,77
1557073922,80,80
1557074523,80,80
1557075722,80,80
1557076924,80,80
1557078123,80,80
1557078723,80,80
1557079322,80,80
1557080522,79,79
1557081123,80,80
1557081722,80,80
1557082922,80,80
1557084122,80,80
1557084724,80,80
1557085322,80,80
1557085922,80,80
1557086524,80,80
1557087124,80,80
1557087723,80,80
1557088922,80,80
1557090122,80,80
1557090723,80,80
1557091323,80,80
1557092523,80,80
1557093723,80,80
1557094923,80,80
1557096123,80,80
1557096722,80,80
1557097323,80,80
1557097923,80,80
1557098522,80,80
1557099722,79,79
1557100323,80,80
1557100924,80,80
1557102123,80,80
1557103322,80,80
1557103923,80,80
1557104522,80,80
1557105124,80,80
1557105722,80,80
1557106323,80,80
1557106922,80,80
1557108123,80,80
1557108722,80,80
1557109324,80,80
1557109923,80,80
1557110523,80,80
1557111123,80,80
1557111725,80,80
1557112323,80,80
1557112923,80,80
1557113523,80,80
1557114122,79,79
1557114722,80,80
1557115323,80,80
1557116522,80,80
1557117122,80,80
1557117723,80,80
1557118323,80,80
1557118923,80,80
1557119523,80,80
1557120123,80,80
1557120723,80,80
1557121323,80,80
1557122522,80,80
1557123724,80,80
1557124322,80,80
