DateTime,AddedIPs,RemovedIPs
1556845923,4,7
1556846523,4,12
1556847722,11,12
1556848323,3,0
1556848923,1,0
1556850123,41,18
1556851322,7,52
1556851923,37,68
1556852523,8,3
1556853723,23,23
1556854922,18,18
1556856122,8,25
1556857323,7,52
1556857924,3,0
1556858524,63,62
1556859123,23,0
1556859723,20,0
1556860922,15,1
1556861523,9,23
1556862122,11,0
1556863322,22,38
1556864523,17,21
1556865722,7,51
1556866323,18,0
1556866923,42,0
1556867522,4,7
1556868122,10,0
1556868722,7,6
1556869322,0,13
1556869923,5,15
1556870523,6,41
1556871722,55,0
1556872923,57,65
1556874122,28,39
1556874724,51,0
1556875323,26,6
1556876523,19,8
1556877723,22,11
1556878922,13,18
1556880123,24,0
1556881322,9,18
1556882523,9,0
1556883723,23,32
1556884323,7,0
1556884923,4,0
1556885523,4,8
1556886122,5,9
1556886722,12,44
1556887323,30,0
1556888522,10,51
1556889722,41,36
1556890923,28,33
1556892122,28,20
1556892722,16,13
1556893322,8,0
1556894522,9,33
1556895724,16,0
1556896322,0,21
1556896922,2,0
1556898123,6,73
1556898723,32,0
1556899322,11,0
1556900523,11,33
1556901122,16,22
1556901722,9,0
1556902923,23,18
1556904123,52,84
1556905322,18,0
1556906522,20,28
1556907723,12,0
1556908923,67,66
1556909522,10,0
1556910124,1,18
1556910723,26,30
1556911322,20,56
1556911923,40,0
1556912522,18,0
1556913722,65,15
1556914923,62,4
1556916123,5,2
1556917322,23,3
1556918522,38,41
1556919722,20,0
1556920922,55,56
1556923323,17,9
1556924522,4,2
1556925722,3,4
1556928123,42,24
1556929323,63,93
1556930522,49,54
1556931723,37,41
1556932923,7,20
1556933522,9,0
1556934122,2,0
1556935322,3,5
1556936522,64,27
1556937123,26,5
1556937722,39,30
1556938922,38,35
1556939522,6,0
1556940122,15,19
1556940723,14,0
1556941322,10,0
1556942522,14,5
1556943723,11,5
1556944922,61,64
1556945523,23,0
1556946122,29,20
1556946723,19,13
1556947322,4,6
1556947922,17,18
1556948522,8,0
1556949722,23,20
1556950322,26,19
1556950922,12,0
1556952122,14,14
1556953322,54,39
1556954522,15,19
1556955122,17,1
1556955722,15,0
1556956322,2,13
1556956922,4,0
1556957523,15,52
1556958122,26,0
1556959323,36,75
1556960524,30,0
1556961122,55,42
1556961723,48,45
1556962322,34,0
1556962923,16,0
1556964123,19,27
1556965322,20,9
1556965922,3,19
1556966522,4,0
1556967722,5,7
1556968923,6,8
1556970122,18,36
1556971323,9,6
1556971923,3,0
1556972522,5,3
1556973722,13,50
1556974922,29,0
1556975522,17,42
1556976122,17,21
1556977323,24,0
1556977922,17,30
1556978522,21,0
1556979123,6,18
1556979723,11,9
1556980923,20,0
1556982124,50,16
1556983323,35,6
1556984522,16,0
1556985722,49,37
1556986923,19,40
1556988123,23,8
1556989322,17,54
1556990522,61,0
1556991723,60,10
1556992323,29,15
1556992922,4,13
1556994122,11,51
1556995323,23,0
1556996522,27,13
1556997122,22,34
1556997722,28,18
1556998923,44,72
1557000123,29,0
1557001323,20,60
1557001922,5,0
1557002523,1,0
1557003722,7,29
1557004322,3,27
1557004923,36,0
1557006122,17,28
1557006723,41,45
1557007322,29,17
1557008522,20,0
1557009723,10,0
1557010923,9,8
1557012122,5,4
1557013323,1,0
1557014525,22,45
1557015722,51,102
1557016923,50,0
1557018122,10,47
1557019322,9,0
1557019922,2,6
1557020522,5,2
1557021723,5,42
1557022922,25,0
1557024123,62,51
1557024722,12,42
1557025322,22,0
1557025924,5,3
1557026523,4,14
1557027723,18,34
1557028922,16,0
1557029522,6,10
1557030122,5,37
1557031323,41,0
1557031922,43,34
1557032522,20,44
1557033124,4,0
1557033722,14,4
1557034322,44,15
1557034922,19,47
1557036122,23,0
1557037322,8,49
1557038522,14,0
1557039723,34,51
1557040922,46,0
1557041522,14,30
1557042123,11,2
1557043323,10,17
1557044522,48,16
1557045722,41,29
1557046922,12,45
1557048123,39,90
1557049322,28,82
1557050522,11,22
1557051123,6,0
1557051722,10,5
1557052322,2,0
1557052923,0,4
1557054123,29,6
1557055323,8,6
1557056523,25,17
1557057722,14,19
1557058323,10,4
1557058922,13,9
1557060122,23,0
1557061322,31,19
1557062522,26,37
1557063723,18,23
1557064923,27,54
1557066122,2,12
1557067323,6,14
1557068523,45,81
1557069722,57,19
1557070922,21,0
1557072122,50,93
1557073323,30,31
1557074523,17,0
1557075122,8,25
1557075722,4,0
1557076923,60,52
1557078123,28,75
1557079322,10,4
1557080522,6,40
1557081722,17,30
1557082922,22,0
1557083522,38,27
1557084122,26,65
1557085322,54,0
1557086524,40,47
1557087124,2,0
1557087722,2,5
1557088922,0,10
1557090122,1,2
1557091323,63,47
1557092522,25,74
1557093123,62,35
1557093722,35,0
1557094923,12,28
1557096122,5,0
1557097323,1,16
1557098522,2,0
1557099722,10,21
1557100924,5,42
1557101523,46,0
1557102123,30,50
1557103322,22,0
1557103923,16,11
1557104522,11,11
1557105722,19,0
1557106922,7,15
1557107523,1,0
1557108722,4,24
1557109324,17,52
1557110522,66,0
1557111724,56,61
1557112323,26,7
1557112923,11,2
1557113523,20,26
1557114122,9,0
1557115323,7,19
1557115923,11,8
1557116522,13,0
1557117723,28,59
1557118923,38,31
1557120122,13,55
1557121322,79,28
