DateTime,AddedIPs,RemovedIPs
1554920430,10,6
1554927622,12,2
1554934829,5,3
1554942026,4,2
1554942930,1,0
1554949217,2,8
1554956423,3,4
1554963616,3,4
1554965427,1,0
1554970824,3,6
1554972625,1,0
1554978036,4,22
1554978930,2,0
1554982523,0,6
1554985233,6,3
1554992434,4,1
1554999625,2,5
1555002330,1,0
1555006830,3,4
1555014022,6,2
1555021222,2,2
1555028422,4,2
1555035626,3,11
1555042827,4,3
1555043728,1,0
1555044626,1,0
1555050031,3,6
1555057228,3,3
1555064444,2,2
1555068926,3,2
1555071626,3,6
1555078831,7,7
1555082431,0,1
1555086027,7,4
1555089623,1,0
1555093227,3,2
1555101334,0,5
1555107630,5,0
1555114836,3,2
1555122035,4,3
1555129228,3,4
1555137327,3,2
1555143624,2,4
1555150823,5,3
1555151732,4,1
1555155319,0,9
1555158030,2,5
1555166138,3,2
1555167028,3,0
1555172427,1,6
1555179630,3,0
1555186825,3,2
1555194927,2,3
1555199432,1,0
1555200322,1,0
1555202127,4,0
1555208435,0,7
1555215627,7,1
1555222831,4,3
1555230026,4,4
1555237229,2,1
1555238253,0,13
1555241721,6,1
1555244424,1,1
1555251619,4,2
1555256128,0,1
1555258833,1,2
1555266026,2,7
1555273226,4,3
1555280438,1,3
1555288525,0,3
1555294821,2,2
1555298433,1,0
1555302022,4,5
1555309228,3,2
1555310129,1,0
1555316423,2,4
1555323630,2,2
1555325431,14,0
1555328123,0,4
1555330834,3,3
1555338039,6,5
1555340727,1,0
1555345231,4,4
1555353330,5,2
1555359622,6,3
1555366816,16,2
1555374026,2,1
1555375824,1,0
1555381232,2,6
1555383932,1,0
1555388425,5,6
1555395623,4,1
1555402829,4,2
1555410031,1,2
1555411052,0,31
1555414537,6,0
1555415429,0,1
1555417223,3,3
1555424427,3,3
1555431630,2,2
1555438835,7,7
1555440636,1,0
1555442436,0,1
1555446031,11,0
1555455036,16,2
1555460426,5,0
1555467629,1,6
1555474829,2,6
1555482026,2,0
1555485623,0,1
1555489232,4,5
1555496433,1,5
1555497328,35,1
1555500928,0,1
1555503630,4,2
1555510830,3,2
1555518026,2,6
1555525225,4,5
1555532422,2,2
1555540531,7,2
1555544125,1,0
1555545930,1,0
1555546833,5,2
1555554020,1,6
1555554933,1,0
1555560335,2,0
1555561228,4,5
1555563922,1,0
1555568426,7,5
1555575626,5,2
1555581919,0,1
1555582823,2,2
1555583812,0,3
1555587396,0,1
1555588224,3,0
1555590023,22,5
1555597234,2,7
1555604427,3,3
1555611626,2,14
1555614322,1,0
1555619726,10,5
1555626028,9,5
1555633215,2,2
1555640420,2,4
1555648525,6,8
1555655720,6,3
1555662030,4,3
1555665620,0,2
1555669230,3,4
1555671022,3,0
1555673723,0,3
1555676420,5,1
1555683628,5,23
1555686321,1,0
1555690832,2,4
1555698029,8,4
1555705230,4,7
1555712424,4,2
1555719627,2,5
1555726831,4,2
1555734025,8,3
1555741225,3,5
1555748432,2,4
1555755633,6,5
1555756670,0,3
1555760124,5,0
1555762828,2,3
1555770024,1,3
1555777226,2,1
1555780827,2,1
1555782634,1,0
1555783532,0,1
1555784426,4,5
1555791620,5,2
1555800624,3,0
1555806032,0,2
1555807828,0,2
1555813234,5,8
1555815028,2,0
1555820433,8,9
1555827628,5,2
1555834825,3,3
1555842038,2,5
1555842926,7,1
1555846529,0,5
1555849227,3,7
1555856423,4,8
1555863625,4,5
1555870822,2,3
1555875322,1,0
1555878022,5,6
1555885227,3,2
1555892425,1,3
1555899624,4,6
1555907723,7,2
1555914029,3,1
1555915825,0,1
1555918526,1,0
1555921220,3,11
1555928423,5,1
1555930313,0,10
1555932913,3,0
1555935614,10,2
1555942822,2,5
1555950026,3,3
1555957221,2,6
1555961718,0,1
1555964417,8,0
1555965316,0,1
1555971621,2,2
1555978824,3,6
1555986030,2,9
1555993223,9,6
1556000421,2,0
1556007620,7,3
1556014825,5,3
1556015726,3,0
1556019325,0,6
1556022027,5,3
1556029223,6,2
1556036420,2,3
1556043618,4,5
1556048122,1,0
1556050819,6,2
1556058920,6,2
1556065220,2,3
1556072416,1,5
1556074232,0,1
1556075138,0,1
1556079623,6,3
1556086817,0,2
1556087720,1,0
1556094017,7,5
1556101214,6,1
1556102275,0,35
1556105729,10,0
1556108424,3,7
1556112921,1,0
1556115628,2,1
1556122835,4,4
1556130924,5,3
1556137234,3,1
1556144435,3,3
1556151630,3,6
1556158824,3,8
1556166024,10,3
1556173229,5,5
1556180431,3,4
1556187622,1,11
1556188530,3,0
1556193028,0,3
1556195722,3,6
1556202046,1,1
1556203831,1,0
1556204724,1,0
1556207422,0,1
1556209230,2,4
1556216435,0,2
1556223627,1,3
1556231724,0,2
1556235322,1,0
1556238021,0,1
1556245217,0,8
1556246118,0,1
1556253328,1,3
1556259630,1,1
1556266827,0,4
1556274025,2,2
1556275961,0,3
1556278515,4,0
1556281225,0,3
1556288435,1,5
1556295620,0,10
1556302828,2,5
1556310032,0,3
1556311823,2,0
1556318123,3,3
1556324425,1,5
1556328924,1,0
1556331622,0,11
1556338831,1,7
1556346016,1,6
1556353222,1,3
1556360418,2,3
1556361323,4,0
1556364920,0,4
1556367626,0,4
1556374829,2,2
1556382020,2,1
1556396440,0,3
1556410821,2,0
1556418019,0,1
1556425226,1,1
1556432422,1,1
1556439618,1,1
1556443222,0,1
1556446822,1,0
1556447811,0,6
1556451409,0,1
1556453122,1,0
1556454030,0,3
1556462140,1,0
1556468433,0,1
1556475639,0,1
1556482820,1,0
1556489118,0,1
1556490015,1,2
1556494523,1,0
1556497223,0,1
