DateTime,AddedIPs,RemovedIPs
1554804228,4,1
1554811428,0,2
1554814969,2,0
1554818628,2,4
1554825770,0,1
1554829369,4,1
1554833029,1,0
1554836569,1,1
1554840169,4,0
1554843770,0,6
1554847369,0,2
1554850969,1,3
1554858229,1,1
1554865376,1,6
1554868969,3,0
1554872569,0,2
1554876169,0,3
1554879769,4,0
1554883370,1,4
1554890570,0,3
1554894170,1,0
1554897770,0,3
1554901377,0,3
1554904969,1,2
1554908569,1,1
1554912170,6,0
1554915770,1,3
1554919370,7,0
1554922977,1,1
1554926630,10,2
1554930230,2,1
1554933770,3,1
1554937370,4,1
1554944570,1,1
1554948170,1,4
1554951770,1,2
1554955370,2,0
1554958970,1,1
1554962570,3,1
1554966170,1,2
1554969770,1,2
1554973430,1,1
1554976970,2,0
1554980631,2,1
1554984170,4,0
1554987770,1,2
1554991370,2,3
1554994971,1,0
1554998570,1,1
1555002171,1,0
1555005830,1,3
1555007593,1,0
1555009392,2,0
1555012993,1,0
1555016593,1,0
1555023793,2,0
1555027393,1,0
1555030993,3,1
1555034593,1,2
1555038133,2,0
1555041793,2,1
1555045393,1,3
1555048272,1,0
1555052534,1,0
1555056133,1,3
1555059793,2,0
1555063393,0,1
1555066993,2,0
1555070593,1,0
1555074193,2,2
1555077794,3,2
1555081393,2,1
1555084993,5,0
1555088593,0,2
1555092193,2,0
1555095733,0,3
1555099396,0,6
1555102993,2,0
1555106593,2,2
1555110197,1,0
1555113793,2,0
1555117393,1,2
1555120993,2,0
1555124594,1,2
1555128193,2,0
1555131740,1,2
1555135333,1,0
1555138993,0,1
1555142534,0,4
1555146193,2,1
1555149733,2,0
1555153396,1,2
1555156994,1,1
1555164193,1,5
1555167794,0,3
1555171396,1,0
1555174994,2,5
1555178594,0,3
1555182134,1,0
1555185795,1,2
1555189395,1,0
1555192994,1,0
1555200135,1,4
1555207394,0,2
1555210934,1,4
1555214595,4,0
1555218134,2,1
1555221794,2,7
1555225394,3,0
1555228994,0,3
1555232594,1,0
1555236195,1,0
1555239794,1,2
1555243394,0,1
1555246995,1,3
1555250594,1,0
1555254194,1,1
1555257735,0,3
1555261395,1,0
1555264935,1,0
1555268595,2,6
1555272196,1,0
1555275796,0,2
1555290196,0,3
1555293735,1,2
1555300996,4,4
1555304536,1,5
1555308196,1,0
1555311736,1,14
1555315395,1,0
1555318995,3,2
1555322596,0,2
1555326195,1,0
1555329795,1,4
1555333395,2,0
1555336995,3,3
1555340595,1,0
1555344196,2,6
1555347795,3,3
1555351396,2,2
1555354997,4,4
1555358596,1,1
1555362196,1,1
1555365796,13,0
1555372996,1,3
1555376596,2,0
1555380196,0,1
1555383796,3,7
1555387396,2,2
1555390936,3,1
1555394597,0,1
1555398197,3,4
1555401796,1,0
1555405396,1,2
1555408997,0,4
1555412596,0,23
1555416136,1,0
1555419736,1,1
1555423396,3,1
1555426936,1,0
1555430597,1,0
1555434197,2,3
1555437796,3,2
1555441337,2,2
1555444937,9,0
1555448597,12,1
1555452197,2,0
1555455797,4,1
1555459338,1,0
1555462998,0,1
1555466537,1,1
1555470197,0,8
1555473797,2,4
1555477397,1,0
1555480937,1,1
1555484597,0,2
1555488198,2,3
1555491737,0,2
1555495398,1,2
1555498998,1,0
1555502598,2,2
1555506197,2,0
1555509737,0,2
