DateTime,AddedIPs,RemovedIPs
1554966170,1,1
1554969770,1,1
1554973430,1,2
1554976970,2,2
1554980631,3,2
1554984170,4,2
1554987770,1,1
1554991370,2,2
1554994971,2,1
1554998570,1,2
1555002171,1,2
1555005830,1,3
1555007593,1,0
1555009392,4,0
1555012993,1,0
1555016593,3,2
1555020193,0,2
1555023793,2,0
1555027393,2,1
1555030993,3,0
1555034593,1,0
1555038133,2,3
1555041793,2,3
1555045393,1,0
1555048272,1,1
1555052534,1,1
1555056133,1,1
1555059793,2,3
1555063393,1,1
1555066993,2,0
1555070593,1,1
1555074193,2,0
1555077794,3,1
1555081393,2,1
1555084993,5,2
1555088593,0,1
1555092193,3,1
1555095733,0,3
1555099396,0,2
1555102993,2,1
1555106593,2,2
1555110197,2,3
1555113793,2,0
1555117393,1,0
1555120993,2,2
1555124594,1,0
1555128193,2,2
1555131740,2,3
1555135333,1,2
1555138993,1,1
1555146193,2,1
1555149733,3,2
1555153396,1,1
1555156994,1,1
1555160595,0,1
1555164193,1,1
1555167794,0,3
1555171396,1,1
1555174994,2,3
1555182134,1,1
1555185795,1,1
1555189395,2,1
1555192994,1,3
1555200135,2,1
1555203734,0,1
1555210934,1,1
1555214595,4,4
1555218134,2,2
1555221794,2,4
1555225394,3,0
1555228994,0,1
1555232594,1,1
1555236195,1,0
1555239794,1,1
1555243394,0,1
1555246995,1,1
1555250594,1,1
1555254194,2,1
1555257735,0,1
1555261395,1,0
1555264935,1,1
1555268595,2,6
1555272196,1,1
1555282996,0,2
1555293735,1,0
1555297395,0,1
1555300996,4,4
1555304536,1,4
1555308196,1,2
1555311736,2,0
1555315395,1,0
1555318995,5,1
1555322596,0,5
1555326195,1,2
1555329795,1,4
1555333395,2,0
1555336995,3,2
1555340595,1,1
1555344196,2,1
1555347795,3,2
1555351396,3,3
1555354997,4,4
1555358596,2,1
1555362196,3,2
1555365796,13,0
1555369396,1,0
1555372996,1,3
1555376596,2,1
1555380196,0,1
1555383796,4,2
1555387396,2,3
1555390936,3,5
1555398197,3,3
1555401796,2,3
1555405396,1,1
1555412596,0,1
1555416136,2,1
1555419736,1,0
1555423396,3,6
1555426936,1,1
1555430597,1,3
1555434197,4,1
1555437796,3,2
1555441337,2,14
1555444937,9,0
1555448597,14,1
1555452197,2,3
1555455797,4,3
1555459338,1,1
1555466537,1,0
1555470197,0,1
1555473797,2,3
1555477397,1,2
1555480937,1,3
1555484597,0,1
1555488198,2,2
1555491737,1,0
1555495398,1,1
1555498998,1,2
1555502598,2,2
1555506197,2,1
1555516997,2,22
1555520537,3,1
1555524137,1,1
1555527797,1,3
1555531397,1,1
1555534998,5,3
1555538598,2,2
1555542198,4,1
1555542378,0,1
1555545799,2,0
1555552939,0,2
1555556598,1,0
1555560138,2,2
1555563738,0,1
1555567342,5,3
1555570999,3,2
1555574599,2,4
1555578200,2,2
1555581799,0,1
1555585398,22,1
1555588939,3,3
1555592598,2,2
1555596199,0,1
1555599739,0,1
1555603400,1,1
1555606939,0,1
1555614199,6,6
1555617799,3,0
1555621399,4,0
1555624939,6,1
1555628599,1,0
1555639340,1,1
1555643000,1,2
1555646599,5,5
1555650199,2,2
1555653800,4,6
1555657399,3,1
1555660999,1,0
1555664540,0,1
1555668199,2,1
1555675399,4,4
1555679002,3,1
1555682543,1,1
1555686199,1,2
1555689739,1,1
1555693341,3,3
1555697001,1,3
1555704199,4,2
1555707801,1,7
1555711400,0,3
1555718601,1,4
1555725800,3,2
1555729400,1,3
1555733001,5,5
1555736540,2,0
1555740201,2,2
1555743801,1,1
1555747401,2,1
1555751000,4,2
1555754601,2,10
1555758201,4,3
1555765341,2,1
1555768941,1,2
1555772601,1,3
1555776141,2,3
1555779741,1,2
1555783341,0,1
1555787000,2,1
1555790601,4,3
1555794141,1,2
1555797801,1,0
1555801342,1,0
1555808601,3,4
1555812142,3,1
1555815801,1,4
1555819401,5,8
1555823001,2,3
1555826602,4,1
1555830201,2,0
1555830814,1,0
1555837401,1,3
1555841002,0,1
1555844602,1,1
1555848202,0,1
1555851801,1,2
1555855401,4,1
1555859002,2,2
1555866142,0,3
1555869801,2,0
1555873403,1,1
1555877002,4,1
1555880601,0,1
1555884201,1,0
1555887801,0,1
1555891342,1,0
1555894942,1,2
1555895571,1,1
1555902142,2,1
1555905742,4,4
1555909402,2,8
1555912942,2,3
1555916542,1,0
1555920202,2,4
1555923802,2,2
1555927402,2,2
1555931002,3,1
1555934542,20,0
1555938202,1,2
1555941802,1,3
1555945342,2,0
1555949002,0,1
1555952602,1,2
1555956202,1,1
1555959802,4,1
1555963342,3,1
1555967002,0,2
1555969283,1,0
1555974144,1,1
1555977803,0,2
1555981343,2,3
1555984943,1,1
1555988603,0,1
1555992204,7,8
1555995804,0,2
1555999403,1,1
1556003003,3,2
1556006545,3,3
1556010143,6,3
1556013743,1,2
1556017403,2,9
1556021003,5,3
1556024543,2,3
1556028203,3,2
1556035344,1,0
1556038946,2,3
1556042544,2,1
1556046143,2,1
1556049743,4,2
1556053344,3,1
1556057005,3,2
1556060604,3,3
1556064143,2,1
1556067804,1,2
1556071404,1,0
1556074944,3,3
1556078544,3,5
1556082144,1,1
1556087243,1,1
1556089403,1,1
1556092944,5,2
1556096543,4,2
1556100204,1,1
1556103744,2,1
1556107403,1,1
1556110943,2,2
1556114543,1,0
1556118204,2,2
1556121746,2,3
1556125404,3,2
1556129007,2,6
1556132604,2,4
1556136144,1,2
1556143404,1,1
1556150604,4,2
1556154204,1,1
1556157804,1,4
1556161404,4,5
1556164946,4,4
1556168544,3,4
1556172204,2,3
1556175804,2,3
1556179404,2,2
1556183004,1,2
1556190144,1,1
1556193808,1,2
1556197404,0,2
1556200945,1,1
1556639016,7,885
1556639407,158,0
1556639583,70,0
1556639967,151,0
1556640463,201,0
1556640770,129,0
1556641137,117,0
1556643739,3,0
1556647399,6,0
1556650999,3,0
1556654599,3,0
1556658139,2,1
1556661799,1,1
1556665339,5,2
1556668999,8,3
1556672598,2,0
1556676198,8,0
1556679798,1,2
1556683398,3,2
1556686998,1,0
1556690598,3,2
1556694138,1,1
1556697798,1,3
1556701339,1,0
1556704999,6,1
1556707699,3,0
1556712204,7,1
1556715800,2,0
1556719400,4,2
1556722999,4,1
1556726599,3,6
1556730142,2,1
1556733799,2,2
1556737399,1,1
1556740947,1,4
1556744599,2,3
1556748139,2,0
1556751806,3,2
1556755402,2,2
1556758999,1,2
1556762599,2,4
1556766142,4,3
1556769800,3,5
1556773399,2,3
1556777007,3,3
1556780601,2,2
1556784140,4,0
1556787800,1,2
1556791401,1,0
1556794941,2,3
1556798600,3,2
1556802200,3,2
1556805801,1,4
1556809401,0,2
1556812940,3,4
1556816540,4,3
1556820200,1,3
1556823740,1,1
1556827400,1,1
1556831000,1,1
1556834600,1,6
1556838200,4,0
1556845401,0,1
1556849000,5,4
1556852600,1,1
1556856200,3,3
1556859740,0,2
1556863400,3,2
1556866940,2,4
1556870542,2,3
1556874141,2,2
1556877740,1,0
1556881401,2,1
1556885002,4,0
1556888607,2,2
1556892142,3,2
1556895801,3,2
1556899405,3,4
1556903001,2,1
1556906601,2,1
1556910204,2,4
1556913801,2,1
1556917341,3,1
1556921001,1,2
1556924541,3,2
1556928202,3,5
1556931801,0,5
1556935341,4,2
1556939001,3,2
1556942606,2,2
1556946202,1,2
1556949741,2,0
1556953404,0,3
1556956941,3,3
1556960607,0,4
1556964204,3,2
1556967743,2,0
1556975003,1,1
1556978607,1,5
1556982202,4,3
1556985803,6,1
1556989402,1,2
1556993002,2,2
1556996602,0,1
1557000202,3,2
1557003802,1,1
1557007402,1,0
1557011003,1,3
1557014546,0,1
1557018142,2,2
1557021743,2,4
1557025402,1,2
1557029002,2,2
1557032605,1,4
1557036205,2,2
1557039743,1,1
1557043403,1,0
1557050602,2,0
1557054142,1,2
1557057802,3,1
1557061402,1,0
1557065002,1,2
1557068542,1,4
